,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time
9,2,6,IA,29.716856881275568,,576.0,155.92844835112655,158.25918169141292,447.5836958885193
10,2,6,MP,0.4984943946708527,0.04611178166754274,576.0,157.92844835112655,162.58991503169918,1310.2046520709994
11,2,6,MP_ppSOE,0.4978051889175317,0.056516016470152884,576.0,157.92844835112655,162.58991503169918,1251.6690769195554
0,3,4,GR,,,7692.0,350.74915927993567,350.74915927993567,0.0
1,3,4,GA,480.65132743286006,,1326.0,219.29835111492022,221.6290844552066,131.1981008052826
2,3,4,GA_ppSOE,183.5170951371686,,1494.0,228.36440593088884,230.69513927117515,131.76191782951358
3,3,4,IA,313.05953869224123,,513.0,147.1252303712173,149.4559637115037,188.72791695594788
4,3,4,MP,0.07810113569399009,0.038499414432934996,644.0,166.40936932216968,171.07083600274237,1164.2645509243014
5,3,4,MP_ppSOE,0.05445879534283227,0.0025824559917749235,629.0,164.6182416474723,169.27970832804502,1129.4998109340668
6,3,6,GR,,,18468.0,417.4726696938816,417.4726696938816,0.0
7,3,6,GA,9909.883996759132,,1281.0,216.67438508239064,219.00511842267701,131.67230296134952
8,3,6,GA_ppSOE,296.45046542404424,,1523.0,229.82550495827115,232.15623829855747,201.81439208984372
9,3,6,IA,504.32412089331984,,261.0,95.7678170947635,98.09855043504986,329.6220049858093
10,3,6,MP,0.08207883377264458,0.06835659032019459,335.0,116.73818655694387,121.39965323751656,1503.9424350261688
11,3,6,MP_ppSOE,0.08193740251860858,0.04888222701234474,335.0,116.73818655694387,121.39965323751656,1223.4838049411776
0,4,4,GR,,,8053.0,353.70098661197176,353.70098661197176,0.0
